namespace,key,category,description,locked,vi-VN,en-US
x2.api,api.approved_translation_required,api,,True,Nội dung này yêu cầu bản dịch được phê duyệt,This content requires an approved translation
x2.api,api.content_not_translatable,api,,True,Nội dung này không hỗ trợ dịch tự động,This content cannot be machine translated
x2.api,api.invalid_locale,api,,True,Ngôn ngữ không được hỗ trợ,Unsupported locale
x2.api,api.locale_updated,api,,True,Đã cập nhật ngôn ngữ,Language preference updated
x2.api,api.success,api,,True,Thao tác thành công,Operation completed successfully
x2.api,api.translation_queued,api,,True,Yêu cầu dịch đã được đưa vào hàng đợi,Translation request queued
x2.api,api.translation_ready,api,,True,Bản dịch đã sẵn sàng,Translation is ready
x2.bql_app,action.accept_task,action,,False,Nhận việc,Accept task
x2.bql_app,action.add_evidence,action,,False,Thêm bằng chứng,Add evidence
x2.bql_app,action.assign,action,,False,Phân công,Assign
x2.bql_app,action.complete,action,,False,Hoàn thành,Complete
x2.bql_app,action.escalate,action,,False,Chuyển cấp xử lý,Escalate
x2.bql_app,action.scan_qr,action,,False,Quét mã QR,Scan QR code
x2.bql_app,action.start,action,,False,Bắt đầu xử lý,Start
x2.bql_app,dashboard.shift_summary,dashboard,,False,Tóm tắt ca trực,Shift summary
x2.bql_app,dashboard.today_tasks,dashboard,,False,Việc cần làm hôm nay,Tasks for today
x2.bql_app,dashboard.urgent_alerts,dashboard,,False,Cảnh báo khẩn,Urgent alerts
x2.bql_app,navigation.approvals,navigation,,False,Phê duyệt,Approvals
x2.bql_app,navigation.dashboard,navigation,,False,Bảng điều hành,Dashboard
x2.bql_app,navigation.feedback,navigation,,False,Phản ánh cư dân,Resident requests
x2.bql_app,navigation.notifications,navigation,,False,Truyền thông,Communications
x2.bql_app,navigation.patrol,navigation,,False,An ninh & tuần tra,Security & patrol
x2.bql_app,navigation.profile,navigation,,False,Cá nhân,Profile
x2.bql_app,navigation.work_orders,navigation,,False,Công việc,Work orders
x2.bql_app,offline.pending_sync,offline,,False,Dữ liệu đang chờ đồng bộ,Data waiting to sync
x2.bql_app,offline.title,offline,,False,Chế độ ngoại tuyến,Offline mode
x2.bql_app,sla.overdue,sla,,False,Đã quá hạn SLA,SLA overdue
x2.bql_web,action.approve,action,,False,Phê duyệt,Approve
x2.bql_web,action.assign,action,,False,Phân công,Assign
x2.bql_web,action.bulk_translate,action,,False,Dịch hàng loạt,Bulk translate
x2.bql_web,action.escalate,action,,False,Chuyển cấp xử lý,Escalate
x2.bql_web,action.generate_ai_draft,action,,False,Tạo bản dịch nháp bằng AI,Generate AI draft
x2.bql_web,action.publish,action,,False,Phát hành,Publish
x2.bql_web,action.reject,action,,False,Từ chối,Reject
x2.bql_web,action.rollback_release,action,,False,Khôi phục bản phát hành,Rollback release
x2.bql_web,navigation.billing,navigation,,False,"Phí, Công nợ & Thanh toán","Fees, Billing & Payments"
